latitude,longitude,elevation
33.333152,77.608614,4924.0
33.333152,77.609332,4924.0
33.333152,77.610051,4924.0
33.333152,77.61077,4848.0
33.333152,77.611488,4848.0
33.333152,77.612207,4848.0
33.333152,77.612926,4760.0
33.333152,77.613644,4760.0
33.333152,77.614363,4760.0
33.333152,77.615081,4710.0
33.333152,77.6158,4710.0
33.333152,77.616519,4710.0
33.333152,77.617237,4781.0
33.333871,77.570525,5432.0
33.333871,77.571244,5284.0
33.333871,77.571963,5284.0
33.333871,77.572681,5284.0
33.333871,77.5734,5320.0
33.333871,77.574119,5320.0
33.333871,77.574837,5320.0
33.333871,77.575556,5423.0
33.333871,77.576274,5423.0
33.333871,77.576993,5423.0
33.333871,77.577712,5532.0
33.333871,77.57843,5532.0
33.333871,77.579149,5532.0
33.333871,77.579868,5663.0
33.333871,77.580586,5663.0
33.333871,77.581305,5666.0
33.333871,77.582024,5666.0
33.333871,77.582742,5666.0
33.333871,77.583461,5628.0
33.333871,77.58418,5628.0
33.333871,77.584898,5628.0
33.333871,77.585617,5551.0
33.333871,77.586336,5551.0
33.333871,77.587054,5551.0
33.333871,77.587773,5319.0
33.333871,77.588491,5319.0
33.333871,77.58921,5319.0
33.333871,77.589929,5159.0
33.333871,77.590647,5159.0
33.333871,77.591366,5159.0
33.333871,77.592085,5006.0
33.333871,77.592803,5006.0
33.333871,77.593522,5006.0
33.333871,77.594241,4974.0
33.333871,77.594959,4974.0
33.333871,77.595678,4974.0
33.333871,77.596397,5005.0
33.333871,77.597115,5005.0
33.333871,77.597834,5005.0
33.333871,77.598553,5040.0
33.333871,77.599271,5040.0
33.333871,77.59999,5040.0
33.333871,77.600709,5236.0
33.333871,77.601427,5236.0
33.333871,77.602146,5219.0
33.333871,77.602864,5219.0
33.333871,77.603583,5219.0
33.333871,77.604302,5090.0
33.333871,77.60502,5090.0
33.333871,77.605739,5090.0
33.333871,77.606458,5005.0
33.333871,77.607176,5005.0
33.333871,77.607895,5005.0
33.333871,77.608614,4937.0
33.333871,77.609332,4937.0
33.333871,77.610051,4937.0
33.333871,77.61077,4855.0
33.333871,77.611488,4855.0
33.333871,77.612207,4855.0
33.333871,77.612926,4763.0
33.333871,77.613644,4763.0
33.333871,77.614363,4763.0
33.333871,77.615081,4742.0
33.333871,77.6158,4742.0
33.333871,77.616519,4742.0
33.333871,77.617237,4760.0
33.333871,77.617956,4760.0
33.333871,77.618675,4760.0
33.33459,77.569807,5432.0
33.33459,77.570525,5432.0
33.33459,77.571244,5284.0
33.33459,77.571963,5284.0
33.33459,77.572681,5284.0
33.33459,77.5734,5320.0
33.33459,77.574119,5320.0
33.33459,77.574837,5320.0
33.33459,77.575556,5423.0
33.33459,77.576274,5423.0
33.33459,77.576993,5423.0
33.33459,77.577712,5532.0
33.33459,77.57843,5532.0
33.33459,77.579149,5532.0
33.33459,77.579868,5663.0
33.33459,77.580586,5663.0
33.33459,77.581305,5666.0
33.33459,77.582024,5666.0
33.33459,77.582742,5666.0
